year_month,revenue,orders
2016-09,143.46,1
2016-10,46490.66,265
2016-12,19.62,1
2017-01,127482.37,750
2017-02,271239.32,1653
2017-03,414330.95,2546
2017-04,390812.4,2303
2017-05,566851.4,3546
2017-06,490050.37,3135
2017-07,566299.08,3872
2017-08,645832.36,4193
2017-09,701077.49,4150
2017-10,751117.01,4478
2017-11,1153364.2,7289
2017-12,843078.29,5513
2018-01,1077887.46,7069
2018-02,966168.41,6555
2018-03,1120598.24,7003
2018-04,1132878.93,6798
2018-05,1128774.52,6749
2018-06,1011978.29,6099
2018-07,1027807.28,6159
2018-08,985491.64,6351
